Published,Snippet,Lead Paragraph,Main Headline,Print Headline,Seo Headline
2019-03-29T18:31:57+0000,"Ms. McMahon, who was one of five women in President Trump’s cabinet and the former chief executive of World Wrestling Entertainment, avoided the kinds of scandals that many of her colleagues endured.","Ms. McMahon, who was one of five women in President Trump’s cabinet and the former chief executive of World Wrestling Entertainment, avoided the kinds of scandals that many of her colleagues endured.","Linda McMahon, Small Business Administrator, Resigns From Cabinet","Small Business Chief, Who Avoided Scandal, Resigns",
2019-04-05T02:16:16+0000,"The current administrator of the agency, the former pro wrestling executive Linda E. McMahon, stepped down from the role last week.","The current administrator of the agency, the former pro wrestling executive Linda E. McMahon, stepped down from the role last week.","Trump Names Jovita Carranza, U.S. Treasurer, to Lead the Small Business Administration","Trump Names Jovita Carranza, U.S. Treasurer, to Lead the Small Business Administration",
2019-04-01T19:41:13+0000,No one knows how the politics of Brexit will end. But the twisting road has already cooled investment and damaged the nation’s reputation as a haven for commerce.,No one knows how the politics of Brexit will end. But the twisting road has already cooled investment and damaged the nation’s reputation as a haven for commerce.,"For Many British Businesses, Brexit Has Already Happened","Awaiting Brexit, Many Businesses  Got Early Start",
2019-02-12T18:21:14+0000,The 2017 tax bill provides a 20 percent deduction for ‘qualified business income.’ But which small businesses are eligible?,The 2017 tax bill provides a 20 percent deduction for ‘qualified business income.’ But which small businesses are eligible?,"Small Businesses Have a New Tax Break, but There Are Many ‘Ifs’",Small Businesses Have a New Break,
2019-03-06T10:00:08+0000,"The Oscar winner says, “I was masquerading as an actor.” Now she’s focused on seeing what comes next for her lifestyle company, Goop. Maybe psychedelics?","The Oscar winner says, “I was masquerading as an actor.” Now she’s focused on seeing what comes next for her lifestyle company, Goop. Maybe psychedelics?",Gwyneth Paltrow Is All Business,"Once an Actress, but Now All Business",
2019-03-07T10:00:13+0000,"Many local companies, including our historic movie theater, are facing recovery with no flood insurance.","Many local companies, including our historic movie theater, are facing recovery with no flood insurance.",Powerful Floods Are Wrecking Businesses. Including Mine.,,
2019-04-05T10:00:01+0000,The couple had their first date in Israel in May 2014. But it wasn’t until their second date — months later in Italy — that their romance took off.,The couple had their first date in Israel in May 2014. But it wasn’t until their second date — months later in Italy — that their romance took off.,A Business Trip Yields the Investment of a Lifetime,A Business Trip That Yielded an Investment of a Lifetime,
2019-04-01T18:47:17+0000,A memorial to those who lost their lives in 2019,A memorial to those who lost their lives in 2019,Notable Deaths 2019: Business and Economics,,
2019-01-22T14:42:00+0000,"Seeking to distinguish themselves from big rivals like WeWork and Regus, operators of co-working spaces in smaller cities try to provide a personal touch.","Seeking to distinguish themselves from big rivals like WeWork and Regus, operators of co-working spaces in smaller cities try to provide a personal touch.",‘Boutique’ Co-Working Spaces Find a Niche Nurturing Small Businesses,Co-Working Spaces Where Small Is Beautiful,
2019-03-03T14:00:05+0000,"Eighteen leaders offer answers to questions about issues of trust, retraining and the future of work.","Eighteen leaders offer answers to questions about issues of trust, retraining and the future of work.",Business Leaders Set the A.I. Agenda,Charting a Course,
