Published On,Headline
"April 12, 2019","Following a military coup in the African country of Sudan, we're examining the turbulent tenure of former President Omar al-Bashir. After that, we're making a stop in India, a nation that has begun an election process that lasts more than a month. And we're showing you how an e-commerce company is utilizing drones to make deliveries in Australia."
"April 11, 2019","Today's show explores sky and sea. We're showing you what scientists say is the first-ever picture of a black hole, and we're taking a trip through Kyrgyzstan with a Dutch photographer. We're also reporting on what could be the oldest shipwreck ever discovered. Before all of that, though, we're updating you on the outcome of Israel's national election."
"April 10, 2019",Could the deadline for Brexit be extended for another year? That's part of the first story we're covering this Wednesday. We're also explaining a U.S. government decision to nullify a deal that would have allowed Cuban citizens to play in Major League Baseball. And our Positive Athlete report tells the story of how a young ice hockey player is helping his brother battle cancer.
"April 9, 2019","First up this Tuesday on CNN 10: There's been a shakeup in the U.S. Department of Homeland Security. After we explain that, we're looking at politics and produce along the U.S. border with Mexico. Then, we're examining why the U.S. government has designated part of Iran's government as a foreign terrorist organization. And we're exploring the pros and cons of forthcoming 5G technology."
"April 8, 2019","Russia is racing to dominate the Arctic, and we're exploring how and why on today's show. Also explained is a debate over fluoride, as the FDA considers lowering its allowable limit in bottled water. And we're introducing you to a CNN Hero who's a judge, a runner, and an inspiration to people in Los Angeles' ""Skid Row."""
"April 5, 2019",Studies by NASA are the focus of this Friday's special edition of CNN 10. One of them asks participants to stay in bed -- and not get up at all -- for two months straight. The other compares how a year in orbit impacted one twin while the other stayed on terra firma as the control. Get ready for launch!
"April 4, 2019","We're traveling all over the world today, starting at the U.S. Capitol, where the leader of NATO addressed Congress. From there, we're reporting on India's elections and a downside of the nation's recent space achievement. We make a stop in Indonesia to explain why Komodo Island could be shut down next year. And we land in the sky above Arizona for a mesmerizing light show."
"April 3, 2019","We begin this Wednesday with a preview of upcoming elections in Israel, America's closest ally in the Middle East. From there, we're journeying to South America, where electricity and water remain in short supply for many Venezuelans. And with 5G wireless technology on the horizon, we're looking at its potential impact on farming."
"April 2, 2019","Tensions between China and Taiwan are making headlines, and we're explaining their strained history today on CNN 10. We're also covering the controversial decision of a county in New York state to temporarily ban unvaccinated children from public spaces. And a day after April Fools' Day, we're covering some of the history and hoaxes of the event."
"April 1, 2019","A milestone for the Dalai Lama: The Tibetan spiritual leader marks 60 years in exile, and we're explaining why the future of his position is uncertain. The European Union is moving to update its copyright protection laws, but major technology companies object. And a passing helicopter in the southeastern U.S. puffs up clouds of pollen."
"March 29, 2019","The significance of Russian forces in Venezuela is our first topic this Friday. We're also visiting Japan, as the nation prepares for a new era and a new emperor. And today's Positive Athlete report explains how a Haitian student overcame child slavery to become a football star."
"March 28, 2019","Boeing works to restore confidence in its 737 MAX series aircraft, but will recent accidents have a long-term impact on the company? The European Union plans to mandate speed limiters in future vehicles, but there are some challenges down the road. Meantime, a Singapore testing facility works on autonomous car technology, and the nation of India acquires the technology to shoot down a satellite."
"March 27, 2019","The United Kingdom Parliament takes control of the Brexit process from its prime minister. Some companies make plans to clear away their satellites once their work is done. A Positive Athlete takes steps to encourage young runners. And a high school version of ""Alien"" goes viral and gets an encore."
"March 26, 2019",The Golan Heights is our first stop today on CNN 10. We're explaining a U.S. proclamation concerning the territory and why it's disputed. An update on a cyclone-stricken part of Africa follows. And we're featuring a look at OPEC's significance and the science behind the Northern Lights.
"March 25, 2019","A U.S. Special Counsel investigation has concluded, and today's show explains the main takeaways from a summary report. The ISIS terrorist group has lost its last major stronghold, but the threat remains in parts of its former territory. And we update you on how some of last year's CNN Heroes have seen their impact widen."
"March 22, 2019","On our last show of the week, we're covering a legal change that's coming to New Zealand, a U.S. executive order concerning colleges, and the memories of a White House photographer who captured history. You'll get an update on what's happening with Boeing 737 MAX aircraft as investigations continue into two recent accidents, and you'll see what climbed into a car when an Australian man left his door open."
"March 21, 2019","The European Union has ordered Google to pay another fine. The reasons why -- and Google's response -- compose our first story on Thursday's show. In Mozambique, rescuers are racing to reach victims of Cyclone Idai. And in the Coral Sea, the wreckage of a historic, United States aircraft carrier is located."
"March 20, 2019","Flooding in the U.S. Midwest is front-and-center today on CNN 10. You'll get an overview of what's happening and then see how it has directly impacted some communities. We're also reporting on a fireball that recently exploded over the Bering Sea, and we're showing you how mushrooms could change packaging as we know it. Then, the discovery of an extremely rare astrolabe gives clues about 14th Century maritime navigation."
"March 19, 2019","We start this Tuesday's coverage in southeast Africa, where three countries are reeling from a natural disaster that left some communities cut off. Then, we're featuring an in-depth report that concerns intellectual property and ""legal fakes."" Our program concludes with a man's record-setting video game collection."
"March 18, 2019","Authorities in New Zealand investigate a shooting at two mosques, while mourners gather at the sites and beyond. A water crisis adds to the list of woes faced by people in Venezuela. Record flooding in Nebraska extends the effects of a ""bomb cyclone."" And a snowcat prowls the slopes of Colorado, looking to serve food to skiers."
"March 15, 2019","The U.S. Senate votes to overturn a recent emergency declaration by U.S. President Donald Trump, though his expected veto will stop the legislation. The world's busiest airport retains its title for the 21st straight year. A CNN Hero helps young people work through their grief. And a Google employee uses cloud computing to set a new pi record."
"March 14, 2019","Weather, fast food, and missions to the moon are three of our subjects today. You'll hear about a major winter storm that caused dramatic weather changes in the Rocky Mountains, and you'll see how some U.S. restaurant brands are making big bucks across the Pacific. And the release of a new film with recently restored footage coincides with the 50th anniversary of ""one giant leap for mankind."""
"March 13, 2019","Investigations are underway into what caused two separate, tragic accidents involving the same type of plane. The U.S. government warns American companies and international governments against using a certain brand of telecommunications equipment. And charges are announced in the largest college cheating scam that the U.S. government has ever prosecuted."
"March 12, 2019","An overview of U.S. President Donald Trump's budget proposal leads off today's show, followed by a report on the blackouts that pose the latest challenge for Venezuelans. A tour of a potential ""space hotel"" and a look at an electric dune buggy concept complete our coverage."
"March 11, 2019",Efforts to contain an Ebola crisis in the Democratic Republic of Congo are challenged by violence and distrust. The U.S. stock market marks a milestone in a historic bull run. Dollar stores thrive while some other retailers struggle. And we explain the history of daylight-saving time.
"March 8, 2019","Today's show explains the significance of possible activity at a North Korean missile facility. We're also showing you what it ""looks like"" when jets break the sound barrier, and we're introducing a CNN Hero who uses video games to connect with children in hospitals. The world's largest snow maze rounds out a week of coverage on CNN 10."
"March 7, 2019","The terrorist group that once controlled an area the size of Portugal is losing its grip in the last Syrian village where it still has fighters. The search for answers continues almost exactly five years after a Malaysian Airlines passenger plane disappeared over the Indian Ocean. And a General Motors plant closes in Lordstown, Ohio, leaving uncertainty about what will happen next."
"March 6, 2019","After an update on the damage caused by an EF-4 tornado in Alabama and Georgia, today's show examines how twisters are categorized and what damage they're capable of. We're bringing you a driver's perspective of a recent avalanche in Colorado. And after a report on the successful docking of a SpaceX capsule with the ISS, we're coming back down to Earth to see how a bridge maintenance crew keeps corrosion at bay."
"March 5, 2019","A natural disaster in the U.S. state of Alabama leads off our show. And after reporting on the destructive effects of several tornadoes, we'll explain how meteorologists are able to track them through 2D radar. That's followed by an invitation to nominate a potential CNN Hero. And on the 50th anniversary of its test flight, we're remembering the superlatives of the Concorde."
"March 4, 2019","We start off the week with two reports concerning Venezuela: One explains a spike in political tension, and the other follows people crossing a border to get the supplies they need. Our second stop is in eastern Asia, where fires at a towering trash heap are deeply concerning to residents nearby. And we're taking a ride on what will be the world's tallest dive coaster."
"March 1, 2019","The outcome of an international summit in Vietnam, the ""super bloom"" of a vivid flower in California, and the work of a Positive Athlete are all part of Friday's coverage on CNN 10. We're also explaining the danger and appeal of a wintertime sport called skijoring."
"February 28, 2019","From a disputed territory in southern Asia to the summit of a U.S. landmark, we're climbing all over the world to bring you news today. You'll learn how Kashmir has been the subject of wars and skirmishes between India and Pakistan, and you'll find out how many bowls of soba noodles have to be eaten to set a record at a restaurant in Japan."
"February 27, 2019",Today's show begins by explaining a vote to overturn a U.S. presidential emergency declaration -- and what's likely to happen next. That's followed by an analysis of a summit between U.S. and North Korean leaders. And we're taking you to a newly unveiled testing facility where jet engines are put through their paces.
"February 26, 2019",CNN 10 returns to its daily events coverage today. We're explaining news taking place in Vietnam and Indonesia. And we're taking you to the coast of Britain to examine how the country's fishing industry has become an example of the complexities of Brexit.
"February 25, 2019","CNN 10's four-part series on Facebook concludes today. In this in-depth report, you'll hear from current and former Facebook employees on how the problems the company has faced can go viral -- and what its management team has done to address them. CNN 10's daily news coverage resumes tomorrow."
"February 22, 2019","In part three of our four-part special report on Facebook, CNN 10 looks at how the company grew into a networking tool that many people can't live without -- while making mistakes that many people can't forgive. Today's show explores the advent of ""fake news"" on Facebook."
"February 21, 2019","Today, we feature part two of our four-part special report on Facebook, a company whose monthly user base includes one quarter of the global population. We're looking at an early feature of the application that redefined it while causing a heated controversy."
"February 20, 2019","As the massive social media company Facebook celebrates its 15th birthday, CNN 10 kicks off a four-part special report today examining the huge successes, huge failures, and unique challenges the business has faced. We start by exploring the ""mission"" of the man who founded the company."
"February 19, 2019","The Caribbean nation of Haiti is our first stop today, where protests and corruption threaten the political stability of the country. Then, we're taking you to Venezuela, where there's a standoff between the government and the opposition concerning the delivery of aid. After that, we're explaining how the Presidents Day holiday got its start. And we conclude with a treetop visit to the jungle of Laos."
"February 15, 2019","Our first story this Friday concerns a bipartisan budget compromise and potential executive action in the U.S. government. It's followed by an explanation of why an upcoming election in Nigeria has such high stakes for the African country. Also featured: the end of a Mars mission and a decision by Amazon to scrap plans for New York. And we conclude with what a collector calls the ""Mona Lisa of baseball cards."""
"February 14, 2019","This Valentine's Day, CNN 10 explains the history of Valentine's cards and the budgeting plans of Americans. Two weeks ahead of a summit between the U.S. and North Korean leaders, we provide a preview of what to look for. And we define the term ""Kona low"" and show you the effects it's having on an island state."
"February 13, 2019","As the deadline approaches for a Brexit agreement, we're taking you to Ireland to explain a key sticking point in the negotiations. We're also explaining the significance and challenges of China's slowing economy. And a new study suggests that bees have the ability to learn simple math."
"February 12, 2019","Is a battle in eastern Syria the last stand for the ISIS terrorist group? That's today's first topic, and it's followed by a report on why Key West, Florida is banning certain sunscreens. A look at how vaping may be triggering a ""nicotine arms race"" is our third story, and we conclude with a crop of ripe ghost apples."
"February 11, 2019","History and international relations concerning Iran factor into today's first story, as the Middle Eastern nation celebrates the 40th anniversary of its revolution. From there, we discuss how a blockade is preventing aid supplies from reaching people in Venezuela. Afterward, we take you to another South American nation, where illegal but lucrative gold mining is changing the landscape of its rainforest."
"February 8, 2019","A region of Brazil is reeling from the deadly collapse of a dam at an iron mine, and there are concerns that the effects could indirectly impact millions. China is now grappling with some of the consequences of a former and highly controversial policy. And a project in a historic Italian town aims to preserve a historic sound."
"February 7, 2019","The U.S. and Saudi Arabia are two nations with an alliance dating back decades, and their relationship is our first topic today on CNN 10. The magnetic north pole is moving at an accelerated pace, so we're explaining some of the effects that's having. And a South Pacific island's mysterious mud baffles scientists."
