Published,Snippet,Lead Paragraph,Main Headline,Print Headline,Seo Headline
2019-02-23T23:00:04+0000,"Behind the scenes, businesspeople worry that Beijing has become more interested in solidifying its control over people’s lives than promoting economic growth.","Behind the scenes, businesspeople worry that Beijing has become more interested in solidifying its control over people’s lives than promoting economic growth.",China’s Entrepreneurs Are Wary of Its Future,Entrepreneurs Wary About Direction of China,
2019-03-09T10:27:27+0000,"A dogged investor, missing files, an internet crusader, a disgraced judge — this scandal has drama galore. It’s about business frustration under President Xi Jinping.","A dogged investor, missing files, an internet crusader, a disgraced judge — this scandal has drama galore. It’s about business frustration under President Xi Jinping.","Chinese Entrepreneur Takes On the System, and Drops Out of Sight","Chinese Entrepreneur Takes On the System, and Drops Out of Sight",
2019-01-22T00:53:12+0000,"He founded Deciem, owners of The Ordinary. ","He founded Deciem, owners of The Ordinary. ","Brandon Truaxe, Visionary Beauty Entrepreneur, Is Dead at 40","Brandon Truaxe, Visionary Beauty Entrepreneur, Is Dead at 40",
2019-03-20T20:27:14+0000,Deap Ubhi has spent his tech career bouncing around. Now he’s tangled up in a little battle over one of the biggest government I.T. contracts in history.,Deap Ubhi has spent his tech career bouncing around. Now he’s tangled up in a little battle over one of the biggest government I.T. contracts in history.,Giant Military Contract Has a Hitch: A Little-Known Entrepreneur,Hitch in Military Deal: One Man,
2019-01-30T06:12:20+0000,"Indigenous entrepreneurs say that the field is an alluring, empowering avenue to take their destiny in into their own hands.","Indigenous entrepreneurs say that the field is an alluring, empowering avenue to take their destiny in into their own hands.",‘It’s Entirely Up to Me’: Indigenous Australians Find Empowerment in Start-Ups,"For Indigenous Australians, Defining a Destiny Through Entrepreneurship",
2019-03-29T15:44:32+0000,Investors in the Lyft I.P.O. trace their financial lineage to the early days of tech.,Investors in the Lyft I.P.O. trace their financial lineage to the early days of tech.,"Lyft’s I.P.O. Is Making the Same Circle of Men Rich, Again",,
2019-03-13T09:00:08+0000,"As some of Silicon Valley’s most prominent start-ups prepare to go public, networks of their former employees are expected to plow big sums of money into a new generation of firms.","As some of Silicon Valley’s most prominent start-ups prepare to go public, networks of their former employees are expected to plow big sums of money into a new generation of firms.",‘We Know Them. We Trust Them.’ Uber and Airbnb Alumni Fuel Tech’s Next Wave.,Tech’s Mafias Keep It All In the Family,
2019-04-01T15:08:23+0000,Fans in Los Angeles paid tribute to the rapper Nipsey Hussle hours after he was fatally shot outside his clothing store. The artist and entrepreneur was an outspoken champion of the Crenshaw neighborhood.,Fans in Los Angeles paid tribute to the rapper Nipsey Hussle hours after he was fatally shot outside his clothing store. The artist and entrepreneur was an outspoken champion of the Crenshaw neighborhood.,‘He Meant a Lot’: Nipsey Hussle Is Mourned in Los Angeles,,
2019-02-27T18:54:55+0000,"Michael D. Cohen, President Trump’s former lawyer, said being a part of Mr. Trump’s success drove him to do things that he knew were wrong, including lie.","Michael D. Cohen, President Trump’s former lawyer, said being a part of Mr. Trump’s success drove him to do things that he knew were wrong, including lie.",‘Mr. Trump Was Intoxicating’: Cohen Says the President Mesmerized Him,,
2019-04-02T11:05:44+0000,Companies see Asia as fertile for growth as country’s wealth continues to grow.,Companies see Asia as fertile for growth as country’s wealth continues to grow.,China Springs a Wealth of Surprises at the Rate of Two New Billionaires a Week,,
2019-01-30T14:47:30+0000,"The conditions that produced Billy McFarland, Anna Delvey and Elizabeth Holmes show no signs of abating.","The conditions that produced Billy McFarland, Anna Delvey and Elizabeth Holmes show no signs of abating.","Fyre Festival, Theranos and Our Never-Ending ‘Scam Season’",A Fertile Time for Swindlers,
2019-03-21T18:16:11+0000,Mayor Martin Walsh says Boston is committed to ensuring access to the business for communities of color.,Mayor Martin Walsh says Boston is committed to ensuring access to the business for communities of color.,From Boston’s Mayor: Marijuana and Diversity,Boston and Marijuana,
2019-04-01T18:00:51+0000,"On Tuesday, Chicago will become the largest U.S. city to ever elect an African-American woman as its mayor.","On Tuesday, Chicago will become the largest U.S. city to ever elect an African-American woman as its mayor.",A New Mayor is Coming to Chicago in History-Making Election,Chicago Gets Ready for a History-Making Vote,
2019-02-24T18:30:01+0000,Representative French Hill warns against interfering in the free market.,Representative French Hill warns against interfering in the free market.,Stock Buybacks,Stock Buybacks,
2019-03-03T05:05:00+0000,The couple met in 2015 at a Manhattan bar.,The couple met in 2015 at a Manhattan bar.,"Amy Ransohoff, Sebastian Brisson","Amy Ransohoff,  Sebastian Brisson",
2019-03-11T19:20:18+0000,Some of legalization’s most vocal supporters said the state must guarantee people of color a share of the potentially $3 billion industry.,Some of legalization’s most vocal supporters said the state must guarantee people of color a share of the potentially $3 billion industry.,Black Lawmakers to Block Legalized Marijuana in N.Y. if Their Communities Don’t Benefit,Leaders Urging Racial Fairness In Pot Industry,
2019-01-25T18:49:00+0000,Two documentaries examining Billy McFarland’s debacle aim to shed new light on the scammers and victims.,Two documentaries examining Billy McFarland’s debacle aim to shed new light on the scammers and victims.,Fyre Festival’s Post-Mortems: We’ve Still Got Questions,Fyre Festival’s Post-Mortems: We’ve Still Got Questions,
2019-03-14T20:24:11+0000,Friendly competition can expand the “win” pie and enhance your performance.,Friendly competition can expand the “win” pie and enhance your performance.,Your Top Rival Can Be Your Biggest Ally,Sometimes Your Big Rival Can Become a Close Ally,
2019-02-07T02:52:24+0000,The president’s eldest daughter hailed the plan as nonpartisan and a “generous” approach to women’s empowerment on behalf of the Trump administration.,The president’s eldest daughter hailed the plan as nonpartisan and a “generous” approach to women’s empowerment on behalf of the Trump administration.,"White House to Unveil a Global Women’s Empowerment Initiative, Led by Ivanka Trump","White House to Unveil a Global Women’s Empowerment Initiative, Led by Ivanka Trump",
2019-01-18T10:00:15+0000,The Amazon chief’s split from his wife raises questions about the disposal of their enormous stake in the company he founded. Investors deserve answers.,The Amazon chief’s split from his wife raises questions about the disposal of their enormous stake in the company he founded. Investors deserve answers.,Why Jeff Bezos’ Divorce Should Worry Amazon Investors,"As Bezoses Split, Risks For Investors",
2019-04-03T09:00:05+0000,Slower growth in the working-age population is a problem in much of the country. Could targeted immigration policy help solve it?,Slower growth in the working-age population is a problem in much of the country. Could targeted immigration policy help solve it?,America’s Biggest Economic Challenge May Be Demographic Decline,,
2019-02-04T07:00:00+0000,This word has appeared in 128 articles on NYTimes.com in the past year.,This word has appeared in 128 articles on NYTimes.com in the past year.,Word + Quiz: malaise,Word + Quiz: malaise,
2019-03-06T10:00:08+0000,"The Oscar winner says, “I was masquerading as an actor.” Now she’s focused on seeing what comes next for her lifestyle company, Goop. Maybe psychedelics?","The Oscar winner says, “I was masquerading as an actor.” Now she’s focused on seeing what comes next for her lifestyle company, Goop. Maybe psychedelics?",Gwyneth Paltrow Is All Business,"Once an Actress, but Now All Business",
2019-02-22T08:00:04+0000,"Amazon may not call it home. But the city, by design and because of its allure, is increasingly a magnet for coders and companies.","Amazon may not call it home. But the city, by design and because of its allure, is increasingly a magnet for coders and companies.",It Started With a Jolt: How New York Became a Tech Town,‘There was no chance I would go to Mountain View’,
2019-01-15T00:40:08+0000,"Administration officials are expected to begin the interview process for the job, which has always gone to an American, on Tuesday.","Administration officials are expected to begin the interview process for the job, which has always gone to an American, on Tuesday.",Ivanka Trump to Help Choose New World Bank President,Ivanka Trump To Help Choose Next President Of World Bank,
