Published,Snippet,Lead Paragraph,Main Headline,Print Headline,Seo Headline
2019-02-21T10:00:01+0000,"While medicine transforms cancer into a chronic disease with which patients can live for an extended period of time, financial toxicity threatens to turn chronic, too.","While medicine transforms cancer into a chronic disease with which patients can live for an extended period of time, financial toxicity threatens to turn chronic, too.",The Financial Toxicity of Illness,The Financial Toxicity of Illness,
2019-02-07T11:00:03+0000,"Our country has most of the best colleges in the world. Students should be able to afford them, and borrowers should not be crushed by debts.","Our country has most of the best colleges in the world. Students should be able to afford them, and borrowers should not be crushed by debts.",Going to College Should Not Be a Financial Albatross,Going to College Should Not Be a Financial Albatross,
2019-02-07T11:35:55+0000,"BB&T and SunTrust say they plan to join forces, in a deal that values the combined lenders at $66 billion.","BB&T and SunTrust say they plan to join forces, in a deal that values the combined lenders at $66 billion.",DealBook Briefing: The Biggest Bank Merger Since the Financial Crisis,DealBook Briefing: The Biggest Bank Merger Since the Financial Crisis,
2019-03-20T09:00:01+0000,Lawmakers in California and at least seven other states want to provide state income tax credits for families that need help with home caregiving.,Lawmakers in California and at least seven other states want to provide state income tax credits for families that need help with home caregiving.,States Seek Financial Relief for Family Caregivers,States Seek Financial Relief for Family Caregivers,
2019-01-30T15:21:28+0000,Regulatory bodies agree on ambitious plan that would be realized within two years.,Regulatory bodies agree on ambitious plan that would be realized within two years.,Shanghai Is Intent on Becoming Leading Global Financial Center,,
2019-01-18T01:16:59+0000,Personal finance luminaries and everyday investors share lessons from the late Vanguard founder. ,Personal finance luminaries and everyday investors share lessons from the late Vanguard founder. ,"The Things John Bogle Taught Us: Humility, Ethics and Simplicity",Lessons From the Conscience of Financial Services,
2019-04-05T09:00:14+0000,"They were once so close. Now, writers are accusing their representatives of enriching themselves at their clients’ expense.","They were once so close. Now, writers are accusing their representatives of enriching themselves at their clients’ expense.",TV’s New Golden Age Produces Financial Drama: Writers vs. Their Agents,The New Golden Age of TV Produces Financial Drama,
2019-01-16T11:00:03+0000,"Just like many Americans, many government workers don’t have much emergency money set aside. ","Just like many Americans, many government workers don’t have much emergency money set aside. ",The Chart That Shows the Financial Peril Facing Federal Workers ,The Chart That Shows the Financial Peril Facing Federal Workers ,
2019-04-05T00:08:47+0000,The Treasury secretary has agreed to recuse himself from matters that could benefit his wife’s film business.,The Treasury secretary has agreed to recuse himself from matters that could benefit his wife’s film business.,U.S. Ethics Office Declines to Certify Mnuchin’s Financial Disclosure,Film Deal By Mnuchin Broke Rules At Treasury,
2019-02-07T13:08:02+0000,"If approved, the merger of BB&T and SunTrust would create the sixth-biggest bank in the U.S., large enough to compete against the country’s largest lenders.","If approved, the merger of BB&T and SunTrust would create the sixth-biggest bank in the U.S., large enough to compete against the country’s largest lenders.",The Financial Crisis Put a Chill on Big Bank Deals. That Ended Thursday.,"As Crisis Restraints Ease, 2 Big Banks Plan Merger",
